time_stamp,can518501x,can518501y,can518501z
2017-01-01 00:00:00,550.3847,0.0478,168.2111
2017-01-01 00:10:00,550.387,0.0495,168.2121
2017-01-01 00:20:00,550.3883,0.0488,168.2071
2017-01-01 00:30:00,550.3891,0.0489,168.2071
2017-01-01 00:40:00,550.3843,0.0466,168.2061
2017-01-01 00:50:00,550.3861,0.0462,168.2071
2017-01-01 01:00:00,550.3903,0.0503,168.2091
2017-01-01 01:10:00,550.3904,0.0496,168.2081
2017-01-01 01:20:00,550.3878,0.0488,168.2071
2017-01-01 01:30:00,550.3885,0.0492,168.2091
2017-01-01 01:40:00,550.3896,0.0491,168.2071
2017-01-01 01:50:00,550.3911,0.0497,168.2031
2017-01-01 02:00:00,550.3923,0.0489,168.2111
2017-01-01 02:10:00,550.3917,0.049,168.2111
2017-01-01 02:20:00,550.3898,0.0463,168.2031
2017-01-01 02:30:00,550.3862,0.0466,168.2091
2017-01-01 02:40:00,550.3871,0.0488,168.2151
2017-01-01 02:50:00,550.3891,0.0501,168.2141
2017-01-01 03:00:00,550.3882,0.0497,168.2121
2017-01-01 03:10:00,550.3874,0.0495,168.2101
2017-01-01 03:20:00,550.3876,0.0518,168.2161
2017-01-01 03:30:00,550.3893,0.0491,168.2171
2017-01-01 03:40:00,550.3871,0.048,168.2131
2017-01-01 03:50:00,550.3864,0.051,168.2171
2017-01-01 04:00:00,550.3888,0.0502,168.2151
2017-01-01 04:10:00,550.3908,0.0491,168.2121
2017-01-01 04:20:00,550.3885,0.0503,168.2021
2017-01-01 04:30:00,550.3869,0.051,168.2051
2017-01-01 04:40:00,550.3864,0.05,168.2071
2017-01-01 04:50:00,550.3854,0.0497,168.2091
2017-01-01 05:00:00,288.1123352050781,-73.05936431884766,33.95270919799805
2017-01-01 05:10:00,230.65130615234375,-89.4527587890625,24.376781463623047
2017-01-01 05:20:00,168.99087524414062,-108.30497741699219,63.27418899536133
2017-01-01 05:30:00,281.50665283203125,-116.78509521484375,51.97389602661133
2017-01-01 05:40:00,234.5768585205078,-122.25591278076172,283.21722412109375
2017-01-01 05:50:00,296.783447265625,-66.75703430175781,269.8368225097656
2017-01-01 06:00:00,372.9426574707031,-143.71490478515625,4.87217378616333
2017-01-01 06:10:00,350.3317565917969,-145.3888397216797,41.78787612915039
2017-01-01 06:20:00,271.6204833984375,-153.22039794921875,27.66659164428711
2017-01-01 06:30:00,341.6725158691406,-151.245361328125,-0.3865390121936798
2017-01-01 06:50:00,302.2091369628906,-90.37418365478516,34.43674850463867
2017-01-01 07:00:00,332.0010986328125,-81.82568359375,-23.240345001220703
2017-01-01 07:10:00,333.658447265625,-67.86908721923828,-31.49338150024414
2017-01-01 07:20:00,368.2567443847656,41.612056732177734,36.49843978881836
2017-01-01 07:30:00,550.3808,0.0567,168.2111
2017-01-01 07:40:00,550.3808,0.0554,168.2091
2017-01-01 07:50:00,550.3785,0.0544,168.2121
2017-01-01 08:00:00,550.3789,0.055,168.2081
2017-01-01 08:10:00,550.3788,0.0556,168.2061
2017-01-01 08:20:00,550.3818,0.0517,168.2121
2017-01-01 08:30:00,550.3793,0.0501,168.2141
2017-01-01 08:40:00,550.3761,0.0494,168.2181
2017-01-01 08:50:00,550.3755,0.0523,168.2161
2017-01-01 09:00:00,550.3722,0.0541,168.2231
2017-01-01 09:10:00,550.3759,0.0536,168.2211
2017-01-01 09:20:00,550.3744,0.0539,168.2151
2017-01-01 09:30:00,550.3731,0.0516,168.2151
2017-01-01 09:40:00,550.3738,0.049,168.2131
2017-01-01 09:50:00,550.3753,0.0503,168.2111
2017-01-01 10:00:00,550.3754,0.0509,168.2091
2017-01-01 10:10:00,550.3761,0.0494,168.2181
2017-01-01 10:20:00,550.3765,0.0476,168.2181
2017-01-01 10:30:00,550.3756,0.0468,168.2121
2017-01-01 10:40:00,550.3758,0.0476,168.2131
2017-01-01 10:50:00,550.3773,0.044,168.2171
2017-01-01 11:00:00,550.3818,0.035,168.2191
2017-01-01 11:10:00,550.377,0.0397,168.2211
2017-01-01 11:20:00,550.3709,0.045,168.2211
2017-01-01 11:30:00,550.3725,0.0427,168.2241
2017-01-01 11:40:00,550.3755,0.042,168.2271
2017-01-01 11:50:00,550.3768,0.0406,168.2281
2017-01-01 12:00:00,550.376,0.0393,168.2321
2017-01-01 12:10:00,550.3753,0.0364,168.2261
2017-01-01 12:20:00,550.3738,0.0363,168.2221
2017-01-01 12:30:00,550.3722,0.0415,168.2241
2017-01-01 12:40:00,550.373,0.0398,168.2191
2017-01-01 12:50:00,550.3725,0.0414,168.2201
2017-01-01 13:00:00,550.3747,0.0386,168.2261
2017-01-01 13:10:00,550.3782,0.0381,168.2241
2017-01-01 13:20:00,550.3752,0.0388,168.2191
2017-01-01 13:30:00,550.371,0.0381,168.2231
2017-01-01 13:40:00,550.3686,0.0366,168.2321
2017-01-01 13:50:00,550.3758,0.0383,168.2281
2017-01-01 14:00:00,550.3806,0.0392,168.2181
2017-01-01 14:10:00,550.3771,0.0385,168.2241
2017-01-01 14:20:00,550.374,0.0354,168.2261
2017-01-01 14:30:00,550.3743,0.0387,168.2221
2017-01-01 14:40:00,550.3733,0.0411,168.2171
2017-01-01 14:50:00,550.3772,0.0388,168.2151
2017-01-01 15:00:00,550.3749,0.0378,168.2261
2017-01-01 15:10:00,550.3761,0.0428,168.2261
